"apartmentFeatureId","apartmentFeatureName"
1,"Los aparatos Incluyeron"
2,"Cocinas grandes"
3,"Aire central"
4,"Conexiones W/D"
5,"Sillón de ruedas Accesible"
6,"Spacious Floor Plans"
7,"Economical Heating"
8,"Views"
9,"Microwaves in Select Units"
10,"Private Balconies/Patios"
11,"Extra Large Windows"
12,"Walk-in Closets"
13,"W/D in Units"
18,"Facilidades de ropa sucia"
15,"Ceiling Fans"
16,"Attached Garages"
17,"Wood Burning Fireplace"
19,"Cubrió, Estacionamiento Reservado"
20,"Lavaplatos"
21,"Some Utilities Included"
22,"Fireplace in select units"
23,"W/D in select units"
24,"Range & Fridge provided"
25,"Aire acondicionado"
26,"Microwave in Units"
27,"Vaulted Ceilings in select units"
28,"Storage"
29,"Telephone/Internet Packages"
30,"Ceramic Tiled Entryways"
31,"Built in shelving"
32,"Pantry Area in kitchen"
33,"Incredible Location"
34,"Mountain Views"
35,"Roll Out Showers in Selected Units"
36,"Garbage Disposal"
37,"Non-smoking"
38,"Central Heat"
39,"Oversized Double-Paned Windows"
40,"Patio Storage"
41,"Seated Showers in Selected Units"
42,"Interior Upgrades"
43,"W/D in every unit"
44,"Custom Cabinets "
45,"Balcony"
46,"Fireplace"
47,"Oversized Closets"
48,"Newly Remodeled"
49,"Two-Toned Paint"
50,"Crown Molding"
51,"Oak Cabinetry "
52,"Disability Access"
53,"Cable Ready"
54,"Disposals"
55,"Shutter Window Coverings"
56,"Dishwashers & Disposals"
57,"Gas Ranges"
58,"Walk-in Closets in select units"
59,"Refrigerator"
60,"Alfombrando"
61,"Yard"
62,"Balcony, Deck, Patio"
63,"Furnished Units"
64,"Alarm"
65,"Custom Vertical Blinds"
66,"Garden Windows in select units"
67,"Balcony and Patios with Storage"
68,"Breakfast Bar"
70,"Gourmet Kitchens with Frost-Free Refrigerators"
71,"Large 2 Bedrooms W/Den"
72,"25"
73,"Swamp Coolers"
74,"9 Foot Ceilings"
75,"All Electric Kitchen"
76,"Stackable Washer & Dryer"
77,"Secure Entryways"
79,"Cityscape Views"
80,"Vast Kitchen Storage"
81,"Tile Showers"
82,"Large Closet Space"
83,"Granite Counter Tops"
84,"Natural Stone Floors"
85,"Range Microwave"
86,"Mirrored Closet Doors"
88,"Walk Out Patios"
89,"New Carpet"
93,"Oversized Windows"
94,"Oversized Balconies & Patios"
95,"Vaulted Ceilings"
96,"Washer and Dryer in select units"
97,"Double Vanities"
98,"Internet Ready"
99,"Full Size Stackable Hookups"
100,"Recessed Lighting"
101,"Wood Burning Fireplace Available"
102,"French-style Doors"
103,"Extra Linen & Storage Closets"
104,"Oversized Bay Windows"
107,"Hardwood floors"
106,"Cablegrafíe y/o el Satélite"
110,"Ceramic Tile"
111,"El cable y/o el Satélite se Preparan"
78,"Elevators"
87,"Semi-Private Patios"
90,"Accent Walls"
108,"Window Coverings"
91,"Maple Cabinets"
92,"Black Appliances"
