"ID","Subject","Message","Day","Month","Year","AddedBy","DateAdded","propertyCode"
2,"Testing Calendar","I love this website!!",26,4,2007,"",2007-04-09 23:21:06,"04IHA"
4,"Testing Calendar","Testing Calendar",23,4,2007,"",2007-04-17 10:14:14,"26FWA"
6,"GRAND OPENING!","Please join us for tons of food and fun!",22,6,2007,"",2007-06-07 10:30:15,"109WIN"
9,"GRAND OPENING!","Join us for day 2 of exciting activities!",23,6,2007,"",2007-06-07 10:31:33,"109WIN"
10,"Rent Due!","",1,7,2007,"",2007-06-07 10:31:46,"109WIN"
11,"Rent Late!","Please drop rent in drop box at leasing office.",4,7,2007,"",2007-06-07 10:33:02,"109WIN"
15,"Office Closed","",12,8,2007,"",2007-06-26 11:31:40,"109WIN"
16,"Labor Day","",3,9,2007,"",2007-06-28 10:00:04,"109WIN"
17,"Office Hours 10am-4pm","",3,9,2007,"",2007-08-29 11:09:14,"109WIN"
29,"Labor Day","Office Closed in observance of Labor Day.",3,9,2007,"",2007-09-06 16:36:58,"101HRA"
20,"Free Gift!","Please stop by to get a free gift this weekend!",15,7,2007,"",2007-07-09 14:55:55,"109WIN"
22,"Crime Free Fair","",21,8,2007,"",2007-08-07 10:59:32,"74LSA"
23,"Annual Pool Party","Food, fun, music, and games
3:00 PM to 7:00 PM",18,8,2007,"",2007-08-07 20:01:16,"102LMO"
26,"Office Closed","Office Closed due to Company Party.",25,8,2007,"",2007-08-15 11:19:33,"96LWB"
27,"Office & Clubhouse Closed","Office and Clubhouse closed for Labor Day Holiday",3,9,2007,"",2007-08-27 20:45:50,"102LMO"
32,"Rent Payment Due","",3,9,2007,"",2007-09-06 16:38:51,"101HRA"
36,"Office Closed","No longer open Sundays",9,9,2007,"",2007-09-06 18:34:34,"102LMO"
40,"Resident Appreciation Week!","Meet & Greet/ Snack provided",24,9,2007,"",2007-09-13 13:22:52,"96LWB"
41,"Resident Party Planning","Let us know you ideas!",25,9,2007,"",2007-09-13 13:23:49,"96LWB"
43,"Earn Easy $$$$$ Come See How!","Resident Referral Program.",27,9,2007,"",2007-09-13 13:25:19,"96LWB"
44,"Goodies in the office 9-6pm","Stop by and grab a treat!",28,9,2007,"",2007-09-13 13:25:56,"96LWB"
46,"Pool Side Water & Fun!","Grab a water & stay cool!",30,9,2007,"",2007-09-13 13:26:58,"96LWB"
48,"Happy Birthday to all in October=)","",1,10,2007,"",2007-09-13 13:30:26,"96LWB"
49,"Happy Birthday to all in November=)","",1,11,2007,"",2007-09-13 13:30:54,"96LWB"
50,"Happy Birthday to all in December=)","",1,12,2007,"",2007-09-13 13:31:11,"96LWB"
51,"Halloween","",31,10,2007,"",2007-09-17 15:36:59,"101HRA"
52,"Thanksgiving","",22,11,2007,"",2007-09-17 15:37:11,"101HRA"
54,"Christmas Day","",25,12,2007,"",2007-09-17 15:37:37,"101HRA"
55,"New Years Eve","",31,12,2007,"",2007-09-17 15:37:44,"101HRA"
59,"Halloween ","",31,10,2007,"",2007-10-08 10:43:54,"27SCW"
60,"Holiday Treats!!!","Stop by for Holiday Treats in the office.",31,10,2007,"",2007-10-11 20:10:15,"96LWB"
61,"Thanksgiving","Office Closed",22,11,2007,"",2007-10-12 12:51:01,"109WIN"
62,"Rent Late!","",4,11,2007,"",2007-10-12 12:51:13,"109WIN"
63,"Pest Control Service","",2,10,2007,"",2007-10-23 11:16:15,"67PCA"
64,"Pest Control Service","",9,10,2007,"",2007-10-23 11:16:28,"67PCA"
67,"Rent Due","",1,10,2007,"",2007-10-23 11:16:44,"67PCA"
68,"Rent Late","",4,10,2007,"",2007-10-23 11:16:55,"67PCA"
69,"Pest Control Service","",6,11,2007,"",2007-10-23 11:17:11,"67PCA"
70,"Pest Control Service","",13,11,2007,"",2007-10-23 11:17:14,"67PCA"
71,"Pest Control Service","",20,11,2007,"",2007-10-23 11:17:25,"67PCA"
72,"Pest Control Service","",27,11,2007,"",2007-10-23 11:17:55,"67PCA"
74,"Rent Late","",4,11,2007,"",2007-10-23 11:18:17,"67PCA"
76,"","office closed for THanksgiving",22,11,2007,"",2007-11-06 12:26:12,"95CCE"
77,"OFFICE CLOSED","",22,11,2007,"",2007-11-06 12:26:34,"95CCE"
78,"NAVOJO TACO SALE 11:00-3:00","",9,12,2007,"",2007-11-06 12:27:16,"95CCE"
79,"RESIDENT CHRISTMAS PARTY 7:00  P.M.","",14,12,2007,"",2007-11-06 12:28:29,"95CCE"
80,"RENT LATE","",4,12,2007,"",2007-11-06 12:28:42,"95CCE"
81,"RENT LATE","",4,11,2007,"",2007-11-06 12:28:54,"95CCE"
85,"","",16,11,2007,"",2007-11-12 18:15:58,"47POR"
87,"Happy Thanksgiving!  Office closed today","",22,11,2007,"",2007-11-15 14:30:12,"97CRY"
88,"Happy Holidays!!  Office closed today","",25,12,2007,"",2007-11-15 14:30:36,"97CRY"
