"ID","propertyCode","apartmentGuide","rent","forRent","apartments","rentals","apartmenthomeliving","apartmentsearch","amcapartments","move","mynewplace"
53,"22RNO","","http://www.rent.com/rentals/nevada/reno-and-vicinity/reno/reno-vista/435593/?sp=1&amp;searchrank=1","http://www.forrent.com/apartment-community-profile/1007253.php","http://www.apartments.com/renovista","","http://www.apartments.com/partner/summary.aspx?page=summary&amp;property=126599.3&amp;p=AptHL&amp;partner=AptHL&amp;ahlp=189537","","http://www.renovistaapts.com","",""
54,"29CLA","http://candlesticklane.apartmentguide.com  ","http://www.rent.com/rentals/utah/salt-lake-city-and-vicinity/salt-lake-city/candlestick-lane/445629/","http://www.forrent.com/apartment-community-profile/1004494.php","http://www.apartments.com/candlesticklaneut","http://www.rentals.com/Home-Rentals/Display.aspx?EndecaId=ApartmentGuide.com24312863CAFF-19f5-45c4-B141-60425f1f72cd539d1e31-6e64-43ea-A7c9-146f6e48b35B","http://www.apartments.com/partner/summary.aspx?page=summary&amp;property=126599.29&amp;p=AptHL&amp;partner=AptHL&amp;ahlp=189536&amp;ahls=l_s_2480628_0","","http://www.candlestickapts.com","",""
55,"703VIM","http://www.apartmentguide.com/apartments/Texas/Dallas/Villas-at-Monterey/78247/","http://www.rent.com/rentals/texas/dallas-fort-worth-and-vicinity/dallas/north-dallas/villas-at-monterey/635291/?sp=1&amp;searchrank=1","","http://www.apartments.com/summary.aspx?property=101920.619&amp;srank=1&amp;mfcisapicommand=quicksearch&amp;qsearchtype=1&amp;propname=villas+at+monterey&amp;state=tx&amp;page=summary&amp;prvpg=7&amp;qsearchtype=1&amp;srt1=0.50&amp;srt2=0.37&amp;srt3=0.54","","","","http://www.villasatmontereyapts.com","",""
58,"27SCW","http://www.apartmentguide.com/apartments/Utah/Salt-Lake-City/Springs-Of-Country-Woods/10551/","http://www.rent.com/rentals/utah/salt-lake-city-and-vicinity/midvale/the-springs-of-country-woods/107884/?sp=1&amp;searchrank=1","http://www.forrent.com/apartment-community-profile/1008235.php","","http://www.rentals.com/Home-Rentals/Display.aspx?EndecaId=ApartmentGuide.com105512863CAFF-19f5-45c4-B141-60425f1f72cd539d1e31-6e64-43ea-A7c9-146f6e48b35B","http://www.apartments.com/partner/summary.aspx?page=summary&amp;property=126599.6&amp;p=AptHL&amp;partner=AptHL&amp;ahlp=189564&amp;ahls=l_s_2480628_1","","http://www.springsofcountrywoods.com","","http://www.mynewplace.com/apartment/springs-of-country-woods-midvale-ut-8g0122345958"
57,"26FWA","http://www.apartmentguide.com/apartments/Utah/West-Valley-City/Fairway/2507/","http://www.rent.com/rentals/utah/salt-lake-city-and-vicinity/salt-lake-city/fairway-apartments/430382/?sp=1&amp;searchrank=8","http://www.forrent.com/apartment-community-profile/1008260.php","http://www.apartments.com/fairwayut","http://www.rentals.com/Home-Rentals/Display.aspx?EndecaId=ApartmentGuide.com25072863CAFF-19f5-45c4-B141-60425f1f72cd23d526d9-A5e0-41d3-865b-37f5404efe38","http://www.apartments.com/partner/summary.aspx?page=summary&amp;property=126599.2&amp;p=AptHL&amp;partner=AptHL&amp;ahlp=189531&amp;ahls=l_s_2480628_0","","http://www.fairwayapts.com","http://www.move.com/apartments/listing/C145575",""
59,"06COV","","http://www.rent.com/rentals/utah/salt-lake-city-and-vicinity/riverton/coventry-cove-apartments-seniors-55-plus/483284/?sp=1&amp;searchrank=9","","","","","","http://www.coventrycoveapts.com","",""
60,"99CCA","http://www.apartmentguide.com/apartments/Arizona/Mesa/Covina-Court/19120/","","http://www.forrent.com/apartment-community-profile/1010919.php","http://www.apartments.com/covinacourt","","http://www.apartments.com/partner/summary.aspx?page=summary&amp;property=126599.54&amp;p=AptHL&amp;partner=AptHL&amp;ahlp=189558&amp;ahls=l_s_2491389_45","","http://www.covinacourtapartments.com","",""
73,"66LAF","","http://www.rent.com/rentals/california/east-bay/lafayette/lafayette-highlands/466713/?sp=1&amp;searchrank=1","http://www.forrent.com/apartment-community-profile/1000148.php","http://www.apartments.com/lafayettehighlands","","http://www.apartments.com/partner/summary.aspx?page=summary&amp;property=126599.58&amp;p=AptHL&amp;partner=AptHL&amp;ahlp=189562","http://my.apartmentsearch.com/db/app.pl?db=myss2&amp;action=search&amp;format=detail&amp;aptid=192048&amp;complex=Lafayette%20Highlands","http://www.lafayettehighlandsapts.com","",""
74,"61MBA","http://www.apartmentguide.com/apartments/California/Lake-View-Terrace/Mountainback-Apartments/6676/","","http://www.forrent.com/apartment-community-profile/1004566.php","http://www.apartments.com/mountainback","","http://www.apartments.com/partner/summary.aspx?page=summary&amp;property=126599.93&amp;p=AptHL&amp;partner=AptHL&amp;ahlp=189594","","http://www.mountainbackapts.com","",""
75,"20RIB","","http://www.rent.com/rentals/california/stockton-modesto-and-vicinity/stockton/riverbank-condominiums/435572/?sp=1&amp;searchrank=1","http://www.forrent.com/apartment-community-profile/1007547.php","http://www.apartments.com/riverbankcondominiums","","http://www.apartmenthomeliving.com/apartment_finder/directory.aspx?property_id=21371","","http://www.riverbankapartments.com","",""
76,"62SER","http://www.apartmentguide.com/apartments/California/Daly-City/Serramonte-Ridge/1868/","http://www.rent.com/rentals/california/san-jose-south-bay-and-peninsula/daly-city/serramonte-ridge/508157/?sp=1&amp;searchrank=1","","http://www.apartments.com/serramonteridge","","http://www.apartments.com/partner/summary.aspx?page=summary&amp;property=126599.35&amp;p=AptHL&amp;partner=AptHL&amp;ahlp=189542","","http://www.serramonteridgeapts.com ","",""
