"id","propertyCode","currentNews"
73,"126SKY","<p><font size=""4""><em>We will be hosting BINGO night starting May 13th for all residents.&nbsp; Come on down and have some fun with us.</em></font></p>"
221,"611RNT","<p><font face=""book antiqua,palatino"" size=""5"">Stop by today and see our remodeled interiors!&nbsp; You&#39;ll be glad you did. Don&#39;t forget to ask us about our daily specials!</font></p><p><font face=""Book Antiqua"" size=""5"">$149 deposit&nbsp;</font></p><p><font face=""Book Antiqua"" size=""5"">Stop in and let us show you around!</font></p>"
75,"25DFT","<p><em><strong><font face=""arial,helvetica,sans-serif"" size=""5"" color=""#ff00ff"">Here&#39;s your chance to pick your neighbors!</font></strong></em></p><p><strong><em><font face=""Arial"" size=""3"" color=""#ff0000""><font color=""#ff00ff"">We&nbsp;are offering $250.00 off of rent to current residents who refer a friend who moves in during the month of April!</font><font size=""2"">&nbsp;</font></font></em></strong></p><p><strong><em><font face=""Arial"" size=""2"" color=""#ff00ff"">Please see the office for details.</font></em></strong></p><p><strong><em><font face=""Arial"" size=""2"" color=""#ff00ff""></font></em></strong></p><p>&nbsp;</p><p><strong><em><font face=""Arial"" size=""2"" color=""#ff0000""></font></em></strong></p>"
76,"51CHV","Let us show you are appreciation! Come to the resident pool party July 24th at 3pm"
80,"89VLP","<p>March is here and along with it has come the nice&nbsp;HOT weather!! Along with that, everyone is outside enjoying the weather and soaking up the sun. Please be carfeul when outside and use proper sun protection and lotions. It is amazing how quickly the sun can burn you up really good...Also, keep your eye on everyone, especially the little ones around water!!! We are just making sure that we take care of our residents and keep our happy home this summer!! </p><p>A few reminders as we approach Spring and Summer: </p><p>1. Let&#39;s remember upon opening windows and doors that noise travels much easier. Please be courteous to those around you. Thank you...</p><p>2. You and your pets enjoy being outdoors, but no one enjoys stepping in their droppings. All pets must be picked up after or the fine of $75.00 per piece will surely empty your pockets!! Please keep up after your pets!!</p><p>3. Pool hours are posted, as well as pool attire and actions. Please be sure to follow these rules to a &quot;T&quot; and insure the safety of yourselves and those around you. </p><p>4. Remember that grills are NOT allowed on patios, even to store them. The City of Mesa Fire Department as well as our Owners prohibit this. It is in your signed lease agreement and is a major fire hazard. We have plenty of charcoal grills all over property for your grilling pleasures!!!</p><p>Please contact the office if you are interested in having a Parking Lot Sale in March for all VLP Residents....Let us know what you think. </p><p>Please also remember that we always have an open door policy and are here to answer any questions or concerns that you may have. We can also be reached at 480-642-3000....Thank you again for being the BEST RESIDENTS ON THE BLOCK!!! We know that VLP couldn&#39;t be what it is without you...</p>"
96,"54APW","<p>&nbsp;</p><p>Come See Our New Exterior and&nbsp;Upgraded Apartment Interiors.</p><p>New Landscaping!&nbsp;New Paint! New Signage!&nbsp;Spectacular Interiors!</p>"
245,"112MKT","<p>Resident Referral Program&nbsp; March and April 2009 want to earn $500 works;</p><p>Refer a friend, family member, co worker and they lease, they need to tell on their 1st visit that you refered them and within 60 days you will have a rent credit of $500.</p>"
83,"154LOM","<p>&nbsp;</p><p>&nbsp;Spring forward specials are just ahead!!&nbsp; The great news is you choose your special!!!&nbsp;&nbsp;As low as&nbsp;$539 rent special!&nbsp; Offer good this&nbsp;Month only&nbsp;!!!!!!!!!!!!!!</p>"
119,"122SVS","Sierra Vista is happy to offer residents faxing and copying services.&nbsp;&nbsp;"
280,"66LAF","<font face=""comic sans ms,sand"" size=""4""><strong>Lafayette Highlands, Voted Best of the Bay!!</strong></font>"
89,"117VIS","Bonus For IMMEDIATE Move In up to $300.00!!!!"
154,"123VNH","<p><font face=""georgia,palatino"" size=""3"">&nbsp;<strong>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Being Home Never Felt So Good!</strong></font></p><p><font face=""Georgia"" size=""3""><strong>Get $400-500 off your apartment!! Ask us how!!!</strong></font></p><p><strong><font face=""Georgia"" size=""3"">ALSO ASK ABOUT GETTING 1 MONTH FREE ON SPECIFIC UNITS!!!</font></strong></p>"
98,"06COV","<p>&nbsp;</p><p><font face=""comic sans ms,sand"" size=""5"" color=""#000000""><strong>$250 Deposit OAC ~Great Move-In SPECIALS!</strong></font></p><p><strong><font face=""Comic Sans MS"" size=""5"">$699 ~ $795</font></strong></p>"
222,"53RBA","<font face=""verdana,geneva"" size=""3"">We have one and two bedroom apartments available with special pricing for a limited time only.&nbsp;We would love to show you around our beautiful community.&nbsp; Stop in and have some treats on us!</font>"
101,"158LME","<font face=""comic sans ms,sand"" size=""4"" color=""#993366"">Did you know you can earn $$$ living at Lake Mead Estates???&nbsp; Refer a friend and we&#39;ll pay you for the Referral.&nbsp; Contact the office for Details!!!</font>"
