"id","propertyCode","itemName","itemAddress","itemPhone","category"
5,"109WIN    ","Emergency Pager","1090 S. Parker Rd.","303-207-0472","Emergency"
6,"109WIN    ","Aurora South Hospital","1501 South Potomac","303-695-2600","Health Care"
7,"109WIN    ","Utility Billing West","Gas,Water,Sewer,Trash","866-676-1647","Utilities"
8,"109WIN    ","Xcel","Electric","800-895-4999","Utilities"
9,"109WIN    ","U.S. Post Office","9660 E. Alameda Ave.","303-364-9318","Post Offices"
10,"109WIN    ","Hampden Library","9755 E. Girard Ave.","303-750-3885","Bookstore/Library"
11,"109WIN    ","RTD Buses","","303-628-9000","Transportation"
12,"109WIN    ","Yellow Cab","","303-777-7777","Transportation"
13,"109WIN    ","Colorado Cinemas","3000 E. 1st Ave","303-377-1519","Entertainment"
14,"109WIN    ","AMF Bowling","6767 Leetsdale","303-388-5677","Entertainment"
15,"109WIN    ","Doras Mexican","2406 S. Parker Rd.","303-368-1527","Restaurants/Dining"
16,"109WIN    ","Ming Garden","909 S. Oneida St.","303-329-6777","Restaurants/Dining"
17,"109WIN    ","Papa Johns","6400 Leetsdale Dr.","303-399-6262","Restaurants/Dining"
20,"109WIN    ","Place Middle School","7125 Cherry Creek Drive North","720-424-0960","Schools"
21,"109WIN    ","McMeen Elementary","1000 S. Holly St.","303-388-5649","Schools"
22,"107BCA    ","Belle Creek Charter School (K-8)","","303-294-0708","Schools"
23,"107BCA    ","United Power","","303-659-0551","Emergency"
24,"107BCA    ","Xcel Energy","","1-800-895-4999","Utilities"
25,"107BCA    ","Henderson Post Office","","303-659-1612","Post Offices"
26,"107BCA    ","Exempla North Suburban","","303-451-7800","Health Care"
27,"107BCA    ","Platte Valley Medical Center","","303-659-1531","Health Care"
28,"107BCA    ","Bridge Street Veterinary Hospital","Brighton","303-659-7533","Health Care"
29,"107BCA    ","Brighton High School (9-12)","","303-655-4200","Schools"
30,"107BCA    ","Wal-Mart (Brighton)","Hwy 85 & Bromley Lane","303-451-5135","Take-Out Foods"
31,"107BCA    ","Wal-Mart (Thornton)","104th & Grant","303-451-6404","Take-Out Foods"
32,"107BCA    ","RTD","","303-299-6000","Transportation"
33,"107BCA    ","Blockbuster Video","","720-872-7301","Entertainment"
34,"107BCA    ","Subway","","303-451-9231","Restaurants/Dining"
36,"96LWB     ","Rover Elementary","1300 E. Watson Drive","480-879-7122","Schools"
37,"96LWB     ","Sam Fees Middle School","1600 E. Watson Drive","480-897-6063","Schools"
38,"96LWB     ","Marcos De Niza","6000 S. Lakeshore Drive","480-838-3200","Schools"
39,"96LWB     ","Gideon Security Services","","480-205-4992","Emergency"
40,"96LWB     ","24 Hour Emergency Maintenance","999 E. Baseline Road","602-336-4125","Emergency"
41,"96LWB     ","Arena Sports Bar & Grill","5000 Arizona Mills Circle #669","480-839-4263","Restaurants/Dining"
43,"96LWB     ","Cafe Lalibela","849 W. University Dr.","480-829-1939","Restaurants/Dining"
45,"96LWB     ","Chipotle","2000 E. Rio Salado Pkwy","480-829-0600","Restaurants/Dining"
48,"117VIS    ","Fire, Police, etc.","","911","Emergency"
51,"117VIS    ","West Metro Fire Dept.","","303-989-4307","Emergency"
53,"117VIS    ","RTD Bus Service Info","","303-299-6000","Transportation"
59,"117VIS    ","Jefferson County Health Dept.","","303-239-7187","Health Care"
62,"117VIS    ","Childrens Hospital","","303-861-8888","Health Care"
63,"117VIS    ","Peiffer Elem. School","","303-982-4800","Schools"
64,"117VIS    ","Carmody Middle School","","303-982-8930","Schools"
65,"117VIS    ","Bear Creek Senior High School","","303-982-8855","Schools"
66,"117VIS    ","Columbine Library","","303-932-2690","Bookstore/Library"
67,"117VIS    ","Bowles Crossing 12","Movie Theatres","303-933-6088","Entertainment"
68,"117VIS    ","Ticket Sales Ent. & Sports","www.denverticket.com","303-420-5000","Entertainment"
69,"117VIS    ","Southwest Plaza Mall","","303-973-5300","Entertainment"
70,"117VIS    ","Hacienda Colorado","","303-932-0272","Restaurants/Dining"
72,"117VIS    ","Imperial Garden","","303-932-1286","Restaurants/Dining"
74,"202PEN    ","Fiesta Mall","Alma School and Southern Ave. ","","Bookstore/Library"
75,"202PEN    ","Non-emergency Police Department","","480-644-2211","Government Offices"
281,"602STW    ","Maintenance","No Heat, AC not working, Flood","801-561-7474","Emergency"
77,"86PHR     ","Pheasant Run Apartments","2101 N. Evergreen, Chandler AZ 85225","480-899-8686","Emergency"
78,"76LMA     ","Emergency Maintenance","","801-336-6319","Emergency"
79,"38SHA     ","Desert View Elementary","Rock Springs","","Schools"
80,"38SHA     ","White Mountain Elementary","Rock Springs","","Schools"
82,"38SHA     ","Rock Springs High School","Rock Springs","","Schools"
83,"43CC1     ","James I Gibson Elementary School","271 Leisure Circle, Henderson, NV. 89074","(702) 799-8730","Schools"
84,"43CC1     ","Barbara & Hank Greenspun Middle School","140 N. Valle Verde St., Henderson, NV. 89074","(702) 799-0920","Schools"
85,"43CC1     ","Green Valley High School","460 Arroyo Grande , Henderson, NV. 89074","(702) 799-0950","Schools"
86,"43CC1     ","Kids R Us Child Care","","(702) 547-3555","Schools"
87,"43CC1     ","Creative Kids Child Care","","(702) 456-7008","Schools"
88,"43CC1     ","Childrens Choice Child Care","","(702) 898-0963","Schools"
89,"43CC1     ","LaPetite Academy","","(702) 451-2660","Schools"
90,"43CC1     ","UMC","","(702) 383-6210","Health Care"
91,"43CC1     ","St. Rose Dominican Hospital","","(702) 616-5000","Emergency"
92,"97CRY     ","Cactus View Elementary","17602 N Central <br>Phoenix AZ 85022","(602)493-6280","Schools"
93,"97CRY     ","Vista Verde Middle School","2826 E Grovers Ave <br>Phoenix, AZ 85032","(602) 449-5300","Schools"
95,"66LAF     ","Stanley Middle School","","","Schools"
96,"66LAF     ","Acalanes High School","","","Schools"
97,"122SVS    ","North Suburban Medical Center","9191 Grant St. Thornton, CO 80229","(303)450-4458","Emergency"
106,"122SVS    ","Rangeview Library","8992 N. Washington St. Thornton, CO 80229","(303) 287-2514","Bookstore/Library"
108,"122SVS    ","AMC Movie Theaters","10655 Westminster Blvd. Westminster, CO 80020","(303) 790-4AMC","Entertainment"
109,"122SVS    ","Northglenn Lanes","310 W. 104th Ave. Northglenn, CO 80234","(303)451-1029","Entertainment"
110,"126SKY    ","Highline Elementary","11000 E Exposition ","720-7472300","Schools"
113,"125LHA    ","Montclair Elementary School","1151 Newport St. ","303-333-5497","Schools"
