"ID","Subject","Message","Day","Month","Year","AddedBy","DateAdded","propertyCode"
2,"Testing Calendar","Testing Calendar",17,4,2007,"",2007-04-17 09:37:28,"26FWA"
11,"","Marcos on vacation 04/23/2007 thru 04/30/2007",24,4,2007,"",2007-04-19 09:41:22,"46SPA"
138,"Florin Fire/exting. serv./ 374-8295","This is the 2nd day, they will be out at 9 am.",17,5,2007,"",2007-04-26 11:29:35,"14FAR"
13,"Weekly & 1.7.2 by 6","",1,4,2007,"",2007-04-20 12:25:43,"60HTA"
15,"Weekly & 1.7.2 by 6","",15,4,2007,"",2007-04-20 12:25:55,"60HTA"
16,"Weekly & 1.7.2 by 6","",22,4,2007,"",2007-04-20 12:25:59,"60HTA"
17,"Weekly & 1.7.2 by 6","",29,4,2007,"",2007-04-20 12:26:09,"60HTA"
19,"RUBS upload","",1,4,2007,"",2007-04-20 12:27:01,"60HTA"
20,"3-days & Bal ltrs","",4,4,2007,"",2007-04-20 12:27:35,"60HTA"
23,"Invoices, cover, 6.5.8 x 2, BCL to SW","",18,4,2007,"",2007-04-20 12:28:06,"60HTA"
25,"Approved invoices to A/P","",5,4,2007,"",2007-04-20 12:28:28,"60HTA"
26,"Approved invoices to A/P","",12,4,2007,"",2007-04-20 12:28:34,"60HTA"
27,"Approved invoices to A/P","",19,4,2007,"",2007-04-20 12:28:40,"60HTA"
28,"Approved invoices to A/P","",26,4,2007,"",2007-04-20 12:28:46,"60HTA"
29,"Gather timecards","",4,4,2007,"",2007-04-20 12:29:00,"60HTA"
30,"Payroll by 10am","",5,4,2007,"",2007-04-20 12:29:09,"60HTA"
31,"Gather timecards","",18,4,2007,"",2007-04-20 12:29:18,"60HTA"
32,"Payroll by 10am","",19,4,2007,"",2007-04-20 12:29:27,"60HTA"
33,"Market Survey, Variance, MSR Due","",6,4,2007,"",2007-04-20 12:29:45,"60HTA"
34,"Property Inspection to SW","",9,4,2007,"",2007-04-20 12:30:03,"60HTA"
35,"Bal ltrs to Residents","",10,4,2007,"",2007-04-20 12:30:20,"60HTA"
36,"Bal ltrs to Residents","",17,4,2007,"",2007-04-20 12:30:25,"60HTA"
38,"Assess 106 for weekend","",6,4,2007,"",2007-04-20 12:30:59,"60HTA"
39,"Assess 106 for weekend","",13,4,2007,"",2007-04-20 12:31:06,"60HTA"
40,"Assess 106 for weekend","",20,4,2007,"",2007-04-20 12:31:11,"60HTA"
