"ID","propertyCode","propertyName","propertyAddress","propertyCity","propertyState","propertyZip","propertyPhone","propertyFax","propertyEmail","propertyImage","propertyURL","propertyStatus","propertyPriceRange","propertyUnitType","propertySpecial","propertyMercial","propertyDescription","propertyHours","propertyPetPolicy","propertyDirections","propertyTheme","validation"
1,"03HWD","Hunters Woods","4924 S. Murray Blvd.","Murray","UT","84123","8012682256","8012682272","hunterswoods@amcllc.net","hunterwoods.jpg","http://www.hunterswoodsapts.net","active","$699-$1300","1-3 Bedrooms/Townhomes","$99 deposit OAC! $300 off move-in","","HUNTERS WOODS IS NESTLED BETWEEN SEVERAL SMALL LAKES AND PONDS INTERSPERSED WITH TREES CREATING A PEACEFUL AND TRANQUIL setting in which you can relax. Our fabulous community offers an array of amenities such as a sparkling&nbsp;pool, jacuzzi, tennis, basketball, raquetball&nbsp;and volleyball courts and fitness room. Come enjoy a lifestyle you deserve...Hunters Woods.","Mon-Fri 9:00 to 6:00 <br />Saturday 10:00 to 4:00 <br />Sunday Closed ","<p>Pets welcome/breed restriction.&nbsp; No size limit!</p>","From I-15, exit at 5300 South. Follow west to Murray Blvd. (about 1/2 mile), turn right. Follow about 1 1/2 miles to Hunters Woods. Our entrance is on the left. ","Sage_Theme.css",""
2,"27SCW","Springs of Country Woods","6945 S. Well Wood Rd","Midvale","UT","84047","(801)566-5132","(801)562-2462","leasing@springsofcountrywoods.com","springsofcountrywoods.gif","http://www.springsofcountrywoods.com","active","550-1050.00","1-3 bdrms, townhomes, studios","Up to $1000.00 off! oac","/flash/emailSample.html","The Springs of Country Woods is nestled amongst ponds and creeks creating a peaceful and tranquil setting in which you can relax. Our lovely community offers a wide array of amenities such washer/dryer hookups in all apartments,&nbsp; indoor and outdoor pools, tennis courts, racquetball courts. Mid July--our new pool will open and our fitness center will be updated with all new state of the art&nbsp;equipment--we are also adding an indoor basket ball court! We also have a playground, park like setting with mature landscaping. &nbsp;Visit us today and experience a lifestyle no other community can match. Come check out our newly rennovated apartments!","Mon-Fri 9:00 to 6:00<br />Saturday 10:00 to 5:00<br />Sunday Closed ","<p>Pets Welcome! No size limit</p><p>(breed restrictions on dogs do apply)</p>","<p>From I-215, exit at Union Park Avenue/Ft. Union Boulevard. Turn south off exit and follow to Ft. Union Boulevard, turn right. Follow about 1 block. We&rsquo;re on your right. </p><p>1050 East Ft. Union (7000 South)</p>","Sage_Theme.css",""
3,"01WIL","Willow Cove","9300 S. Redwood Rd.","West Jordan","UT","84088","(801)562-1770","(801)561-4612","willowcove@amcllc.net","willowcove.jpg","http://www.willowcoveapts.net/","active","$599-$1,065","1-3 Bedrooms","","/flash/willow.html","<span class=""propdescription1""><font face=""Trebuchet MS"" size=""2"" color=""#777777""><span style=""font-size: 10pt""><span class=""propdescription1""><span style=""color: windowtext; font-family: &rsquo;Times New Roman&rsquo;""><font size=""3""><span class=""propdescription1""><span style=""font-size: 10pt; color: windowtext; font-family: &rsquo;Times New Roman&rsquo;"">Willow Cove pays tribute to the modern lifestyle.&nbsp; Inside your home, everything is sophisticated and sleek showcasing large floorplans, walk in closets, private patios and air conditioning.&nbsp; Upgraded fixtures and flooring are available too!&nbsp; Down at the clubhouse you&rsquo;ll find our fully loaded fitness center, large lounge and full size basketball court.&nbsp; Did we mention the relaxing pool and spa? </span></span></font></span></span></span></font></span>","M-F: 9:00 AM - 6:00 PM <br />Sat: 10:00 AM - 4:00 PM <br />Sun: Closed ","<p>We welcome your pets up to&nbsp;35lbs!&nbsp;1 pet: $400 deposit &amp; $35 monthly. 2 pets:$500 deposit &amp;&nbsp;$70 monthly.</p>","From I-15: Take 90th south exit. Turn west on 90th south and go to Redwood Road. Turn left (south) and travel 3 blocks. Willow Cove is on the right. ","Sage_Theme.css",""
4,"02ATH","Atherton Park","4545 Atherton Drive","Taylorsville","UT","84123","(801) 2615377","8012628662","athertonpark@amcllc.net","athertonpark.gif","http://www.athertonparkapts.com","active","$720-$750","2 Bedrooms","2 Bedrooms for the price of one...","","Atherton Park welcomes you home to spacious floor plans and quiet community living. Starting at over 925 sq. ft. at just $720 per month, our apartment rooms are an incredible value. We encourage you to visit our community today! ","Monday - Friday 9 - 6 Saturday 10 - 4 Closed Sunday ","Call for Policy","From I-15, exit at 4500 South. Head west to 815 West, turn left. Our community is about 1/2 block ahead on your right. Look for the leasing office just north of the pool in #75.","Blue_Theme.css",""
5,"06RVA","Riverview","525 Park Blvd","Ogden","UT","84401","8016270999","8013929113","amc@riverviewapt.com","riverview.gif","http://www.riverviewapts.com","inactive"," "," ","$100 off rent","","","","","","Tan_Theme.css",""
6,"05CSP","Country Springs","625 S. Orem Blvd","Orem","UT","84058","801-226-5276","801-226-5274","countrysprings@amcllc.net","countrysprings.jpg","http://www.countryspringsapts.com","active","$699-829","1-2 Bedrooms","$199 DEPOSIT OAC","","Welcome to Country Springs Apartments, where quality meets&nbsp;comfort. Enjoy&nbsp;our pampering&nbsp;amenities such as a swimming pool, year round sauna, and exercise facility. Our on-site management will meet your needs in a friendly and convenient manner. Close to everything&nbsp;yet far from ordinary.","<p>Mon, Wed, Fri&nbsp;9:00 to 6:00 (open later)&nbsp;&nbsp; Tue, Thurs 9:00 to 5:00<br />Sat 10:00 to 3:00 <br />Sun to Closed </p>","No Pets","From I-15: Exit Orem Center Street and travel East to Orem Boulevard. Turn right and travel South to 625 South and Country Springs Apartments is on the left. ","Sage_Theme.css",""
7,"24WAS","Wasatch Club","6960 S. State Street","Midvale","UT","84070","(801)562-2017","(801)562-2084","wasatchclub@amcllc.net","wasatchclub.gif","http://www.wasatchclubapts.com","active","$549-$849","1-2 Bedrooms","Move in by 2/7/09 and receive $200 off! 1 Bedrooms starting @ $599 ","","This active community has fun built into it. Meet your neighbors tanning at the pool. Entertain friends in the social center or enjoy a game of pool in the billiard room. Is physical fitness a priority? We make it easy and convenient with a fully equipped fitness center, racquetball &amp; tennis courts and swimming pool. Enjoy a year round outdoor jacuzzi to relax and soothe those tired muscles. Our contemporary one and two bedroom apartments offer you a choice of five well designed floor plans.","Mon - Fri 9am - 6pm <br />Saturday 10 - 4 <br />Closed Sunday ","<p>Cats and dogs-breed restrictions apply</p>","Form I-15 exit at 7200 South. Head East and follow to State St. Turn left Community is just ahead on the left. ","Tan_Theme.css",""
8,"26FWA","Fairway","1141 West 3900 South","Taylorsville","UT","84123","(801) 266-9208","(801) 262-1899","fairway1@xmission.com","fairway.gif","http://www.fairwayapts.com","active","$605-$790","1-2 Bedrooms","$99 Deposit*   *OAC","/flash/fairway.html","Make Fairway Apartments your new home. Enjoy property amenities such as our two sparkling swimming pools, a racquetball court, fitness center, and clubhouse. Apartment features include ceiling fans, privacy shutters, and spacious closets. Enjoy the convenience of being close to TRAX, freeway access, shopping, and the airport.","M-F: 9:00 AM - 6:00 PM <br />Sat: 10:00 AM - 4:00 PM <br />Sun: Closed ","&middot; Cats &middot; Small &amp; Large Dogs ","From 3300 south: Exit from I-15. Go west to 500 west. Turn left to 3900 south. Turn right to 1141 west. The Fairway Apartments entrance will be on the south side of 3900.","Tan_Theme.css",""
11,"04IHA","Irving Heights","1963 S. 1200 E.","Salt Lake City","UT","84105","(801)484-2561","(801)649-3677","irvingheights@conceptproperty.com","irvingHeights.jpg","http://www.irvingheightsapts.com","Inactive","$650 - $750","1-2 Bedrooms","$199 moves you in!!","","<p>Irving Heights Apartment brings together all the components needed for the empty nester or the young professional desiring to enjoy the urban lifestyle. The high rise apartments provide a view of the picturesque mountains or the city skyline. At Irving Heights our passion it to make you free to live the fulfilling and noble life you want to live. Our on-site manager and 24 hour maintenance team are dedicated to serving you. Come join our community today!</p><p> </p>","Mon - Fri: 9am - 5pm <br />Sat: By Appointment <br />Sun: Closed","Sorry no pets.","<p>From I-80 exit at the 1300 East Exit, turn north on 1300 East to 2100 South. Turn left on 2100 South and head west to 1200 East. At 1200 East, turn right. We are ahead on your right!</p>","Sage_Theme.css",""
12,"22RNO","Reno Vista","3277 Reno Vista Drive","Reno","NV","89512","(775)6735222","(775)6735330","renovista@amcllc.net","renovista.jpg","http://www.renovistaapts.com","Active","$695-$768","2 Bedrooms","$99.00 move in special!","","Reno Vista Apartments, nestled high on Reno’s north hills, offers the most spectacular panoramic views of the city lights and the majestic Sierras. Relax and enjoy a quiet evening watching a breathtaking sunset. You will find all you need at Reno Vista Apartments at a price you can afford. So...what are you waiting for...call today!","Monday - Friday 8:00 a.m. to 5:00 p.m. <br>
Saturday 8:00 a.m to 5:00 p.m <br>
Sunday 9:00 a.m to 6:00 p.m. <br>","Weight Restriction: 25 lbs.","Hwy 395 North, exit on McCarran (exit 70). Turn left, then right on Clearacre Lane, then second left on Scottsdale Rd. and left on Cache Peak and follow signs to model.","Tan_Theme.css",""
