"ID","propertyCode","propertyName","propertyAddress","propertyCity","propertyState","propertyZip","propertyPhone","propertyFax","propertyEmail","propertyImage","propertyURL","propertyStatus","propertyPriceRange","propertyUnitType","propertySpecial","propertyMercial","propertyDescription","propertyHours","propertyPetPolicy","propertyDirections","propertyTheme","validation"
1,"03HWD","Hunters Woods","4924 S. Murray Blvd.","Murray","UT","84123","8012682256","8012682272","hunterswoods@amcllc.net","hunterwoods.jpg","http://www.hunterswoodsapts.net","active","$669-$1150","1-3 Dormitorios/Townhomes","&#161;$199 - $399 dep&#243;sito OAC! ","","El BOSQUE de CAZADORES ES ANIDADO ENTRE VARIOS PEQUEÑOS LAGOS Y CHARCAS ESPARCIDOS CON ARBOLES que CREAN UNA colocación PACIFICA Y TRANQUILA en la que usted puede relajarse. Nuestra comunidad fabulosa ofrece una serie de servicios tales como chispeando la piscina de todo el año, el campo de tenis, el jacuzzi y racquetball. Venga goce un estilo de vida que usted merece. Bosque ..Hunters. ","El lunes - el viernes 9:00 a 6:00<br>
El sábado 10:00 a 4:00<br>
El domingo cerrado","Llame para la Política","De yo-15, salen en 5300 al sur. Siga al oeste a Murray Blvd. (Acerca de 1/2 milla), gira a la derecha. Siga acerca de 1 1/2 millas al Bosque de Cazadores. Nuestra entrada está a la izquierda. ","Tan_Theme.css",""
2,"27SCW","Springs of Country Woods","6945 S. Well Wood Rd","Midvale","UT","84047","(801)566-5132","(801)562-2462","springsofcountrywoods@amcllc.net","springsofcountrywoods.gif","http://www.springsofcountrywoods.com","active","$660-1075","1-3 bdrms, townhomes, los estudios","$200 lejos primero meses alquilan con este anuncio","/flash/emailSample.html","Las Primaveras de Bosque de País son anidadas entre charcas y riachuelos que crean una colocación pacífica y tranquila en la que usted puede relajarse. Nuestra comunidad encantadora ofrece una serie ancha de servicios las piscinas tal como interiores y al aire libre, los campos de tenis, los tribunales de racquetball y un club magnífico. Visítenos hoy y experimente un estilo de vida ninguna otra comunidad puede emparejar. ","El lunes - el viernes 9:00 a 6:00<br>
El sábado 10:00 a 5:00<br>
El domingo cerrado","¡Los animales favoritos Dan la bienvenida! ","De yo-215, la salida en la Unión Estaciona Avenida/P. Bulevar de unión. Gire al sur lejos la salida y siga a Pies. El Bulevar de la unión, gira a la derecha. Siga acerca de 1 bloque. Estamos en su derecho. ","Tan_Theme.css",""
3,"01WIL","Willow Cove","9300 S. Redwood Rd.","West Jordan","UT","84088","(801)562-1770","(801)561-4612","willowcove@amcllc.net","willowcove.gif","http://www.willowcoveapts.net/","active","$695-$1,150","1-3 Dormitorios","&#161;Uno de un Floorplans amable Hoy Disponible! ","/flash/willow.html","Calladamente anidado en una arboleda sombreada de sauces verdes exuberantes y madura ajardinar, Ensenada de Sauce es conveniente a todo el entusiasmo de la ciudad. Si usted se repantiga por nuestra piscina, ejercita en nuestro Centro deportivo completamente cargado, jugando en el Campo de juegos Fortess o jugando un juego que revigoriza del baloncesto, Ensenada de Sauce es la retirada que usted busca. La visa & Mastercard Aceptó. ","El lunes - el viernes 9:00 a 6:00<br>
El sábado 10:00 a 4:00<br>
El domingo cerrado","<p>¡Damos la bienvenida sus animales favoritos hasta 35lbs! 1 animal favorito: $400 depósito & $35 mensualmente. 2 depósito pets:$500 & $70 mensualmente.</p>","De yo-15: Tome la salida 90 del sur. Gire al oeste en sur 90 y vaya al Camino de la Secoya. Gire a la izquierda (al sur) y viaje 3 bloques. La Ensenada del sauce está a la derecha. ","Sage_Theme.css",""
4,"02ATH","Atherton Park","4545 Atherton Drive","Taylorsville","UT","84123","(801) 2615377","8012628662","athertonpark@amcllc.net","athertonpark.gif","http://www.athertonparkapts.com","active","$720-$750","2 Dormitorios","2 Dormitorios para el precio de uno... ","","Atherton Park Las bienvenidas usted en casa a planos espaciosos y vivir callado de comunidad. Empezando en más de 925 Pies cuadrados en apenas $720 por mes, nuestros espacios de apartamento son un valor increíble. ¡Nosotros le alentamos a visitar nuestra comunidad hoy!","El lunes - el viernes 9 - 6 el sábado 10 - 4 el domingo Cerrado","Llame para la Política","De yo-15, salen en 4500 al sur. Diríjase al oeste a 815 al oeste, la vuelta dejó. Nuestra comunidad está acerca de 1/2 bloque adelante en su derecho. Busque la oficina que arrienda apenas al norte de la piscina en #75. ","Blue_Theme.css",""
5,"06RVA","Riverview","525 Park Blvd","Ogden","UT","84401","8016270999","8013929113","amc@riverviewapt.com","riverview.gif","http://www.riverviewapts.com","inactive"," "," ","$100 del alquiler","","","","","","Tan_Theme.css",""
6,"05CSP","Country Springs","625 S. Orem Blvd","Orem","UT","84058","801-226-5276","801-226-5274","countrysprings@amcllc.net","countrysprings.jpg","http://www.countryspringsapts.com","active","$785-$935","1-2 Dormitorios","&#161;$300 lejos Su Alquiler-Mueve en hoy! *La llamada &amp; averigua c&#243;mo. ","","Bienvenido a Apartamentos de Primaveras de País, donde calidad encuentra el consuelo. Goce nuestros servicios que miman tal como una piscina, sauna de serie de año, y la facilidad del ejercicio. Nuestra administración local satisfará sus necesidades en una manera amistosa y conveniente. Todo cercano mas distante de ordinario. ","El lunes - el viernes 9:00 a 5:00<br>
El sábado 11:00 a 3:00<br>
El domingo cerrado","Ningunos Animales Favoritos","De yo-15: Salga Orem la Calle y el viaje Centrales al este al Bulevar de Orem. Gire a la derecha y el viaje al sur a 625 Sur y Apartamentos de Primaveras de País está a la izquierda. ","Blue_Theme.css",""
7,"24WAS","Wasatch Club","6960 S. State Street","Midvale","UT","84070","8015622017","8015622084","wasatch1@xmission.com","wasatchclub.gif","http://www.wasatchclubapts.com","active","$575-$800.00","1-2 Dormitorios","","","Esta comunidad activa se divierte construido en ello. Encuentre a sus vecinos que curten en la piscina. Entretenga a amigos en el centro social o goce un juego de la piscina en el espacio de billar. ¿Es la forma física una prioridad? Nosotros lo hacemos fácil y conveniente con un centro deportivo completamente equipado, racquetball & los campos de tenis y la piscina. Goce un año jacuzzi alrededor al aire libre relajarse y apaciguar esos músculos cansados. Nuestro contemporáneo uno y dos apartamentos de dormitorio le ofrecen una elección de cinco planos bien diseñados. ","El lunes - el viernes 9:00 a 6:00<br>
El sábado 10:00 a 4:00<br>
El domingo cerrado","<p>Las restricciones de gatos y perros-cría aplican</p>","Forme yo-15 salida en 7200 al sur. Dirija al este y siga para Indicar S. La vuelta dejó la Comunidad es apenas adelante a la izquierda. ","Tan_Theme.css",""
8,"26FWA","Fairway","1141 West 3900 South","Taylorsville","UT","84123","(801) 266-9208","(801) 262-1899","fairway1@xmission.com","fairway.gif","http://www.fairwayapts.com","active","$570-$760","1-2 Dormitorios","$199 le mueven En* *OAC","/flash/fairway.html","Haga Apartamentos de Calle su nuevo hogar. Goce los servicios de la propiedad tales como nuestras dos piscinas que chispean, un tribunal de racquetball, el centro deportivo, y el club. Las características del apartamento incluyen ventiladores de techo, los postigos de la intimidad, y los armarios espaciosos. Goce la conveniencia de es cercano a TRAX, al acceso de autopista, a las compras, y al aeropuerto. ","El lunes - el viernes 9:00 a 6:00<br>
El sábado 10:00 a 4:00<br>
El domingo cerrado","· Gatos · Pequeños Perros","De 3300 al sur: Salga de yo-15. Vaya al oeste a 500 al oeste. Gire a la izquierda a 3900 al sur. Gire a la derecha a 1141 al oeste. La entrada de Apartamentos de Calle estará en el lado del sur de 3900. ","Sage_Theme.css",""
11,"04IHA","Irving Heights","1963 S. 1200 E.","Salt Lake City","UT","84105","(801)484-2561","(801)649-3677","irvingheights@amcllc.net","irvingHeights.jpg","http://www.irvingheightsapts.com","Inactive","$650 - $750","1-2 Dormitorios","&#161;$199 le mueven en!! ","","<p>El Apartamento de Alturas de Irving reúne todos los componentes necesitaron para el nester vacío o el joven profesional que desea de gozar el estilo de vida urbano. Los apartamentos altos de la subida proporcionan una vista de las montañas pintorescas o el perfil de la ciudad contra el horizonte. En Alturas de Irving nuestra pasión que lo hacer usted liberta para vivir el cumplir y la vida noble que usted quiere vivir. Nuestro director local y 24 equipo de la conservación de la hora son dedicados a la porción usted. Venga una nuestra comunidad hoy! </p><p> </p>","El lunes - el viernes 9:00 a 5:00<br>
El sábado 10:00 a 4:00<br>
Sentado: Por Cita","Arrepentidos no animales favoritos. ","<p>De yo-80 salida en la 1300 Salida del Este, prende al norte 1300 al este a 2100 al sur. Gire a la izquierda en 2100 Sur y diríjase al oeste a 1200 al este. En 1200 al este, gira a la derecha. ¡Somos adelante en su derecho!</p>","Sage_Theme.css",""
12,"22RNO","Reno Vista","3277 Reno Vista Drive","Reno","NV","89512","7756735222","7756735330","renovista@sbcglobal.net","renovista.jpg","http://www.renovistaapts.com","Active","$695-$768","2 Dormitorios","$99.00 move in special!","","¡$99,00 mueven en especial! ","El lunes - el viernes 8:00 a 5:00<br>
El sábado 10:00 a 4:00<br>
El domingo cerrado","Cargue la Restricción: 25 lbs. ","La autopista 395 al norte, salen en McCarran (sale 70). La vuelta dejó, entonces correcto en la Senda de Clearacre, entonces segundo dejó en el Rd de Scottsdale. y dejó en el Pico de Reserva y sigue los signos para modelar. ","Tan_Theme.css",""
