"ID","ipAddress","url","domainName","domainNameRegistrar","dns1","dns2"
1,"166.70.18.130","http://166.70.18.130","liveserver","liveserver","liveserver","liveserver"
2,"166.70.18.131","","","","",""
3,"166.70.18.132","http://www.apartmentmanagementconsultants.com","apartmentmanagementconsultants.com","xmission","ns1.agencyworks.com","ns2.agencyworks.com"
4,"166.70.18.133","http://www.amcapartments.com","amcapartments.com","xmission","ns1.uasllc.com","dns.greenaspen.com"
5,"166.70.18.134","http://www.gochip.com","gochip.com","","ns1.uasllc.com","dns.greenaspen.com"
6,"166.70.18.135","http://www.myflybox.com","myflybox.com","xmission","ns1.uasllc.com","dns.greenaspen.com"
7,"166.70.18.136","","","","",""
8,"166.70.18.137","","","","",""
9,"166.70.18.138","","","","",""
10,"166.70.18.139","http://166.70.18.139","host","host","host","host"
11,"166.70.18.140","http://166.70.18.140","webserver1","webserver1","webserver1","webserver1"
12,"166.70.18.141","","","","",""
13,"166.70.18.142","","","","",""
14,"166.70.18.143","","","","",""
15,"166.70.18.144","","","","",""
16,"166.70.18.145","","","","",""
17,"166.70.18.146","","","","",""
18,"166.70.18.147","","","","",""
19,"166.70.18.148","http://166.70.18.148","ftp/sql","ftp/sql","ftp/sql","ftp/sql"
20,"166.70.18.149","","","","",""
21,"166.70.18.150","http://www.wasatchclubapts.com","wasatchclubapts.com","xmission","ns1.agencyworks.com","ns2.agencyworks.com"
22,"166.70.18.151","http://www.countryspringsapts.com","countryspringsapts.com","xmission","ns1.agencyworks.com","ns2.agencyworks.com"
23,"166.70.18.152","http://www.renovistaapts.com","renovistaapts.com","xmission","ns1.agencyworks.com","ns2.agencyworks.com"
24,"166.70.18.153","http://www.springsapts.com","springsapts.com","xmission","ns1.agencyworks.com","ns2.agencyworks.com"
25,"166.70.18.154","http://www.springsofcountrywoods.com","springsofcountrywoods.com","xmission","ns1.uasllc.com","dns.greenaspen.com"
26,"166.70.18.155","http://www.fairwayapts.com","fairwayapts.com","xmission","ns1.uasllc.com","dns.greenaspen.com"
27,"166.70.18.156","http://www.riverviewapts.com","riverviewapts.com","xmission","ns1.uasllc.com","dns.greenaspen.com"
28,"166.70.18.157","http://www.coventrycoveapts.com","coventrycoveapts.com","xmission","ns1.uasllc.com","dns.greenaspen.com"
29,"166.70.18.158","http://www.athertonparkapts.com","athertonparkapts.com","names4ever","ns1.uasllc.com","dns.greenaspen.com"
30,"166.70.18.159","http://www.riverbankapartments.com","riverbankapartments.com","names4ever","ns1.uasllc.com","dns.greenaspen.com"
31,"166.70.18.160","http://www.willowcoveapts.com","willowcoveapts.com","thatworks","dns.thatworks.com","dns.thatworks.com"
32,"166.70.18.161","http://www.villageparkapartments.com","villageparkapartments.com","names4ever","ns1.uasllc.com","dns.greenaspen.com"
33,"166.70.18.162","","","","",""
34,"166.70.18.163","","","","",""
35,"166.70.18.164","","","","",""
36,"166.70.18.165","","","","",""
37,"166.70.18.166","","","","",""
38,"166.70.18.167","","","","",""
39,"166.70.18.168","","","","",""
40,"166.70.18.169","","","","",""
41,"166.70.18.170","","","","",""
42,"166.70.18.171","","","","",""
43,"166.70.18.172","","","","",""
44,"166.70.18.173","","","","",""
45,"166.70.18.174","","","","",""
46,"166.70.18.175","http://www.poaortho.com","poaortho.com","xmission","ns1.uasllc.com","dns.greenaspen.com"
47,"166.70.18.176","http://www.c-thru.bz","c-thru.bz","","",""
48,"166.70.18.177","","","","",""
49,"166.70.18.178","","","","",""
50,"166.70.18.179","","","","",""
51,"166.70.18.180","http://166.70.18.180","dotnet","dotnet","dotnet","dotnet"
52,"166.70.18.181","","","","",""
53,"166.70.18.182","http://www.keepitjeep.com","keepitjeep.com","","",""
54,"166.70.18.183","http://www.keithsheehan.com","keithsheehan.com","names4ever","ns1.uasllc.com","dns.greenaspen.com"
55,"166.70.18.184","","","","",""
56,"166.70.18.185","http://www.uctmonline.org","uctmonline.org","xmission","ns1.uasllc.com","ns1.xmission.com"
57,"166.70.18.186","","","","",""
58,"166.70.18.187","","","","",""
59,"166.70.18.188","","","","",""
60,"166.70.18.189","","","","",""
61,"166.70.18.190","http://166.70.18.190","ns1.uasllc.com","network solutions","ns1.uasllc.com","dns.greenaspen.com"
62,"166.70.18.191","","","","",""
63,"166.70.18.192","","","","",""
